net_worth,cash,shares_held,profit,Drawdown,Volatility
10000.0,9796.729995727539,1,0.0,0.0,0.0
10000.099990844727,9593.360000610352,2,0.0999908447265625,0.0,0.0
9999.580001831055,9390.25,3,-0.519989013671875,5.1998381430979133e-05,0.0
9995.800018310547,9188.399993896484,4,-3.7799835205078125,0.00042999295388210023,0.0
10009.439971923828,8983.139999389648,5,13.63995361328125,0.0,0.0
10020.689971923828,8775.630004882812,6,11.25,0.0,0.0
10017.630004882812,8568.630004882812,7,-3.059967041015625,0.0003053649049705262,0.009471569974411285
10014.830047607422,8362.029998779297,8,-2.799957275390625,0.0005847825182522066,0.008893611993571528
10033.629974365234,8153.080001831055,9,18.7999267578125,0.0,0.00833579293906125
10032.550018310547,7944.25,10,-1.0799560546875,0.00010763363383408228,0.008350520800135014
10023.549926757812,7736.320007324219,11,-9.000091552734375,0.0010046262053888008,0.007927311442045342
10050.610000610352,7525.93000793457,12,27.060073852539062,0.0,0.007826106000302844
10057.93000793457,7314.93000793457,13,7.32000732421875,0.0,0.007961603201119404
10049.61001586914,7104.570007324219,14,-8.319992065429688,0.0008272071946082498,0.00759147324968
10046.669921875,6894.420013427734,15,-2.940093994140625,0.0011195232071298346,0.007467301934748419
10045.019912719727,6684.380020141602,16,-1.6500091552734375,0.0012835737775724373,0.007240898602985959
10013.660049438477,6476.300018310547,17,-31.35986328125,0.004401497968386115,0.007018342958686885
10021.81997680664,6267.740020751953,18,8.159927368164062,0.0035902050520776095,0.007368710854657555
10007.060119628906,6060.000015258789,19,-14.759857177734375,0.005057689630523723,0.007137485984659378
9951.959945678711,5855.160018920898,20,-55.10017395019531,0.010535971335280815,0.007043297851496613
9905.959884643555,5652.620025634766,21,-46.00006103515625,0.015109483081621007,0.007681127096901281
9970.639923095703,5447.000030517578,22,64.68003845214844,0.00867873257916939,0.008133418807062247
9967.340057373047,5241.530029296875,23,-3.29986572265625,0.009006818549150591,0.0088572681676348
10042.319931030273,5032.800033569336,24,74.97987365722656,0.0015520168555540044,0.008708578087624055
10038.000106811523,4824.250030517578,25,-4.31982421875,0.0019815112162566684,0.008606795029730604
10056.99996948242,4614.940032958984,26,18.99986267089662,9.24681769923395e-05,0.008260726992185352
10050.760223388672,4405.870025634766,27,-6.239746093748181,0.0007128489202293402,0.008266358464059135
10058.320190429688,4196.52001953125,28,7.559967041015625,0.0,0.00825485574743453
10057.480224609375,3987.2000122070312,29,-0.8399658203125,8.350955272946198e-05,0.007841782596223784
10064.439941406248,3777.6400146484375,30,6.959716796873181,0.0,0.007840256233153632
10038.340087890625,3568.9500122070312,31,-26.09985351562318,0.0025932743071221897,0.007767322673693562
10100.02978515625,3358.27001953125,32,61.689697265625,0.0,0.00731753855689382
10031.22998046875,3149.740020751953,33,-68.7998046875,0.006811841761953343,0.007635330154471632
9934.870040893555,2944.1300201416016,34,-96.35993957519531,0.016352401703352032,0.00796120281964485
10071.209854125977,2734.510025024414,35,136.33981323242188,0.002853450102952106,0.008550033640062437
10026.760238647461,2526.1600189208984,36,-44.449615478515625,0.007254389152046997,0.009773731766072736
9976.359909057617,2319.2100219726562,37,-50.40032958984375,0.012244506078624363,0.009629018468389297
9916.78988647461,2113.8700256347656,38,-59.57002258300781,0.018142510723180592,0.009736783358101032
9936.92984008789,1908.0000305175781,39,20.13995361328125,0.016148461790485322,0.009854443374309673
9781.320220947266,1706.1200256347656,40,-155.609619140625,0.031555309339521304,0.009321647697275434
9822.119781494142,1503.2200317382812,41,40.79956054687682,0.027515760802066608,0.010041869436726475
9909.449981689453,1298.1900329589844,42,87.33020019531068,0.018869231826116696,0.009432320014296204
10035.449981689453,1090.1600341796875,43,126.0,0.006394021091077189,0.009773149161929994
9899.140060424807,885.3000335693359,44,-136.30992126464662,0.019890013099435198,0.009664877623663052
