Date,Adj Close,Close,High,Low,Open,Volume,daily_return,log_return,sma_20,sma_50,sma_200,rsi,macd,volatility_20,atr,volume_ma_20,volume_change,regime
2015-10-16,171.25990295410156,203.2700042724609,203.2899932861328,201.9199981689453,202.8300018310547,114580100,0.0045465685257981,0.0045362641044849,196.4750015258789,198.63580078125,206.0422004699707,61.36355638942918,1.2809347116890422,4.67573104506844,2.830484351969289,131161345.0,-0.1458310658390872,0
2015-10-19,171.34413146972656,203.3699951171875,203.3699951171875,202.1300048828125,202.5,76523900,0.0004919114607415,0.0004917905119613,196.8205009460449,198.5442007446289,206.03190048217772,61.539362805714966,1.488572467801248,4.923306923002581,2.716877629283983,129701230.0,-0.3321362086435603,0
2015-10-20,171.1250762939453,203.1100006103516,203.83999633789065,202.5500030517578,202.8500061035156,78448500,-0.0012784310029908,-0.0012792488930572,197.28050079345704,198.3950006103516,206.038850479126,60.76511405537484,1.6135475301039437,5.0648161212466105,2.614957319058901,125929110.0,0.0251503125167431,0
2015-10-21,170.06356811523438,201.8500061035156,203.7899932861328,201.6499938964844,203.6100006103516,102038000,-0.0062035079663712,-0.006222829671597,197.693000793457,198.25860076904297,206.0490004730225,57.02098025902778,1.5925620766037127,5.085200907456428,2.5810317526724376,126391480.0,0.3007004595371485,0
2015-10-22,172.93646240234375,205.259994506836,205.509994506836,201.8500061035156,202.97999572753903,174911700,0.016893675007231,0.016752563918761,198.3110008239746,198.1854006958008,206.0637504577637,63.5642355099619,1.8299934933386908,5.221282838457336,2.658100084861577,127168125.0,0.7141819714224114,0
2015-10-23,174.83216857910156,207.509994506836,207.9499969482422,206.3000030517578,207.25,144442300,0.0109617073965431,0.0109020633532108,199.04400024414065,198.1624005126953,206.07180046081544,67.12111193914433,2.1746478113693968,5.438785436906319,2.660378824614764,126637500.0,-0.1741987528564412,0
2015-10-26,174.40252685546875,207.0,207.3699951171875,206.5599975585937,207.3000030517578,69033000,-0.0024576864745625,-0.0024607115434298,199.99350051879884,198.1140005493164,206.08555046081543,65.55889908568498,2.37921048949346,5.055195282907236,2.53820869058816,121163355.0,-0.5220721353786253,0
2015-10-27,174.0655059814453,206.6000061035156,207.0,205.7899932861328,206.1999969482422,77905800,-0.0019323376641758,-0.0019342070371614,200.91750106811523,198.0342007446289,206.10530052185055,64.29494744081092,2.4804585391361518,4.419664388510461,2.443337120822376,117106365.0,0.1285298335578637,0
2015-10-28,176.04537963867188,208.9499969482422,208.97999572753903,206.2100067138672,207.0,135906700,0.0113745923296302,0.0113103880605106,201.78350067138672,198.01360076904297,206.1396504974365,68.17680883448764,2.7189802575052227,4.195232452308837,2.466669398883053,115729100.0,0.7445004094688714,0
2015-10-29,175.94432067871094,208.8300018310547,209.2700042724609,208.2100067138672,208.3500061035156,90525500,-0.0005742767118451,-0.0005744416718742,202.61850051879884,198.0238006591797,206.17950050354003,67.77163592132084,2.865298457619815,3.817675195020465,2.366192838862386,113701425.0,-0.3339143691959263,0
2015-10-30,175.18606567382812,207.92999267578125,209.44000244140625,207.7400054931641,209.0599975585937,131076900,-0.0043097694171432,-0.0043190832432861,203.2650001525879,198.10300048828125,206.22405044555663,64.66738328179781,2.875486648085285,3.5446727801454463,2.3186074181037983,109705105.0,0.4479555484366284,0
2015-11-02,177.25860595703125,210.38999938964844,210.6199951171875,208.1699981689453,208.32000732421875,86270800,0.0118309373371787,0.0117614989423226,203.8610000610352,198.35420043945317,206.26785041809083,68.86524894078691,3.0469396218002487,3.6949373529461114,2.3451356340539737,107702605.0,-0.3418306352988207,0
2015-11-03,177.77261352539062,211.0,211.6600036621093,209.6999969482422,209.97000122070312,95246100,0.0028993802562917,0.0028951851601861,204.52150039672853,198.78420043945312,206.31255043029785,69.8226897234994,3.1952069334078037,3.733078747744291,2.317626425469199,106951185.0,0.1040363599271132,0
2015-11-04,177.2334442138672,210.3600006103516,211.5,209.72000122070312,211.3500061035156,96224500,-0.0030331724627886,-0.0030377818534608,205.06900024414065,199.24600036621092,206.34895042419436,67.47811832858801,3.223904084542511,3.7469090841896113,2.2792244507426047,105547045.0,0.0102723366101078,0
2015-11-05,177.0564422607422,210.1499938964844,210.97999572753903,209.08999633789065,210.42999267578125,78408700,-0.0009983205612181,-0.0009988192150948,205.5159996032715,199.5598001098633,206.3692003631592,66.68681108663142,3.1928952874929166,3.795258280550584,2.251422660664446,101814720.0,-0.1851482730489636,0
2015-11-06,176.96377563476562,210.0399932861328,210.32000732421875,208.4600067138672,209.7400054931641,110471500,-0.0005234385607728,-0.0005235756025603,205.95149917602535,199.77519989013672,206.39455032348636,66.24857782668164,3.123439397383379,3.7893650825064022,2.2234639427849543,101984835.0,0.4089189082333975,0
2015-11-09,175.31239318847656,208.0800018310547,209.4900054931641,206.9499969482422,209.3099975585937,131008700,-0.0093315155100394,-0.0093753268647913,206.27949905395508,199.95119995117187,206.4077003479004,58.83019199392344,2.8770750437883805,3.667547329838951,2.285359113863931,105715490.0,0.1859049619132535,0
2015-11-10,175.7168426513672,208.5599975585937,208.6000061035156,207.19000244140625,207.509994506836,75874600,0.0023067845218913,0.002304127979073,206.69499893188475,200.16899993896484,206.43680030822756,60.01116372146736,2.689557616316364,3.41020277628603,2.2228337244528893,105107285.0,-0.4208430432482728,0
2015-11-11,175.02597045898438,207.7400054931641,208.94000244140625,207.6600036621093,208.8800048828125,67846000,-0.0039316842876315,-0.0039394336770712,207.11749954223632,200.4883999633789,206.47480033874515,57.00290878250197,2.446579551210675,2.9348000139607806,2.155488371227464,103544275.0,-0.1058140668945866,1
2015-11-12,172.58261108398438,204.83999633789065,207.0599975585937,204.82000732421875,206.5,121315200,-0.0139598010907382,-0.0140581555257129,207.24199905395508,200.6769998168945,206.4890502929688,47.864501103308285,1.9969911111634813,2.770103512279633,2.210096213921598,102902925.0,0.7880965716475548,1
2015-11-13,170.64486694335938,202.5399932861328,204.6699981689453,202.44000244140625,204.3500061035156,153577100,-0.0112282908263867,-0.0112918039606613,207.20549850463868,200.816799621582,206.5045002746582,42.09991119118019,1.4385156954744218,2.829371008774176,2.2236603341046552,104852775.0,0.2659345242805517,1
2015-11-16,173.23983764648438,205.6199951171875,205.69000244140625,202.17999267578125,202.32000732421875,117645200,0.0152068822610431,0.0150924166120076,207.31799850463867,201.077399597168,206.52300025939945,50.66811581847277,1.2302685421215358,2.711098782461438,2.3155424363561083,106908840.0,-0.2339665223526164,1
2015-11-17,173.1134490966797,205.47000122070312,207.0399932861328,204.8800048828125,205.9900054931641,121123700,-0.0007294713551514,-0.000729737548842,207.43599853515624,201.2381997680664,206.52615028381348,50.27790877757986,1.041126461089959,2.5657710762231187,2.3044314339964087,109042600.0,0.0295677171699313,1
